,indice_tiempo,Salarios no registrados,Salarios general,Salarios registrados,Salarios no registrados(Var %),Salarios general(Var %),Salarios registrados(Var %),IPC general,IPC general(Var %)
0,2016-01-01,,,78.38,,,,,
1,2016-02-01,,,79.42,,,0.0132686909926003,,
2,2016-03-01,,,81.92,,,0.0314782170737848,,
3,2016-04-01,,,85.3,,,0.041259765625,85.5254,
4,2016-05-01,,,88.13,,,0.0331770222743259,89.1118,0.0419337413212916
5,2016-06-01,,,89.83,,,0.019289685691592,91.8528,0.0307591138322871
6,2016-07-01,,,93.84,,,0.0446398753200489,93.7328,0.0204675306577479
7,2016-08-01,,,96.42,,,0.0274936061381074,93.9221,0.0020195705238721
8,2016-09-01,,,97.69,,,0.0131715411740302,95.0014,0.0114914381173334
9,2016-10-01,100.0,100.0,100.0,,,0.0236462278636504,97.2428,0.0235933365192513
10,2016-11-01,100.73,101.41,101.58,0.0073,0.0141,0.0158,98.8166,0.0161842316346298
11,2016-12-01,103.2,102.79,102.69,0.0245209967239155,0.013608125431417,0.0109273479031304,100.0,0.0119757206785096
12,2017-01-01,102.0,104.38,104.98,-0.0116279069767442,0.0154684307812043,0.0223001265946052,101.313,0.01313
13,2017-02-01,104.94,105.76,105.97,0.0288235294117646,0.0132209235485725,0.0094303676890836,103.8085,0.0246315872592854
14,2017-03-01,110.08,108.82,108.5,0.0489803697350867,0.0289334341906202,0.0238746815136359,106.2627,0.0236416093094495
15,2017-04-01,114.61,112.63,112.14,0.0411518895348836,0.0350119463333946,0.0335483870967741,109.0613,0.0263366167055796
16,2017-05-01,115.79,114.43,114.09,0.0102957857080534,0.0159815324513896,0.0173889780631353,110.4607,0.0128313159663417
17,2017-06-01,116.24,116.45,116.51,0.0038863459711546,0.0176527134492703,0.0212113243930229,111.9943,0.0138836708440195
18,2017-07-01,120.74,121.1,121.19,0.0387130075705437,0.0399313009875481,0.0401682259033557,113.9199,0.0171937321810127
